time,undefended_attacks,activity,temp
210.7,501,718,1.25
247.1,639,1123,1.5
22.8,48,625,1.75
66.1,160,687,2.0
115.9,248,1456,2.25
18.6,41,545,2.5
45.4,93,602,2.75
33.6,59,580,3.0
9.2,15,391,3.25
650.6,1479,2005,1.25
308.0,754,1255,1.5
200.7,480,1054,1.75
172.0,457,1359,2.0
92.7,269,1119,2.25
14.1,37,417,2.5
15.7,42,389,2.75
29.5,87,788,3.0
22.2,53,1135,3.25
431.2,1001,1440,1.25
368.3,762,1351,1.5
243.4,489,976,1.75
224.3,458,1509,2.0
136.4,315,1022,2.25
52.7,127,671,2.5
14.2,32,328,2.75
15.4,37,505,3.0
47.0,106,1321,3.25
440.2,917,1330,1.25
89.7,195,315,1.5
137.4,304,830,1.75
214.7,499,1358,2.0
139.9,293,1256,2.25
12.0,26,341,2.5
64.0,161,1368,2.75
26.2,68,423,3.0
17.7,44,635,3.25
239.4,625,932,1.25
296.2,806,1418,1.5
211.0,820,1957,1.75
82.0,407,1185,2.0
9.2,37,389,2.25
16.3,78,654,2.5
16.6,79,616,2.75
19.0,95,1053,3.0
10.4,45,473,3.25
10.4,45,473,3.25
